ID,Date,Easting (X),Northing (Y),Point ID,NDVI,NDRE,CIRE,Green,Red,Red Edge,NIR,Total Weight (g),Bag weight (g),Biomass Weight (g),Total Velp Biomass (mg),C Content (mg),N Content (mg),N Content (%),Soil_pH,Buffer_pH,Excess_Lime,Soluble_Salts,OM_pct,NO3_D1_ppm,NO3_D1_lbs_A,NO3_Total_lbs_A,NO3_Total_Depth,Bicarb_P_ppm,SO4_ppm,ExchK_ppm,ExchCa_ppm,ExchMg_ppm,ExchNa_ppm,Zn_ppm,Fe_ppm,Mn_ppm,Cu_ppm,Boron_ppm,CEC_me_100g,Base_Sat_pct,H_Sat_pct,Ca_Sat_pct,Mg_Sat_pct,K_Sat_pct,Na_Sat_pct
1,5/31/2023,336521.295,4451922.229,21,-0.0841251,0.0129629,-0.996811,0.088056,0.100463,0.082436,0.085625,5.4771,2.9332,2.5439,98.2,39.8619,2.3468,0.023898167,7.6,,H,1.1,6.7,1.7,6,6,12,6,32,86,3700,479,53,0.9,55.1,8.4,1.7,1.2,22.9,100,0,81,17,1,1
2,5/31/2023,336381.295,4451902.229,98,-0.1257701,0.0546327,-0.990059,0.09547,0.118483,0.087964,0.097905,4.31,2.964,1.346,101.9,42.8321,2.2778,0.022353288,7.3,,H,1.52,8.9,2,7,7,12,6,20,163,5420,565,49,3.2,63.7,3.5,1.8,1.2,32.4,100,0,83,15,1,1
3,5/31/2023,336531.295,4451757.229,1026,-0.1104667,0.0386473,-0.99128,0.099254,0.128362,0.094978,0.103698,4.8455,2.9768,1.8687,102,40.6654,1.9841,0.019451961,7.5,,H,1.32,9.4,1.6,6,6,12,6,30,149,5710,484,61,1.1,33,4.5,1.6,1.2,33.2,100,0,86,12,1,1
4,5/31/2023,336661.295,4451667.229,1591,0.1638641,0.1512332,-0.970198,0.085018,0.099598,0.092507,0.122309,4.9454,2.8905,2.0549,99.7,42.3121,2.9394,0.029482447,7.1,,H,1.26,4.3,4.2,15,15,12,9,31,192,3690,454,67,3.9,46.9,4.9,1.4,0.6,23,100,0,81,16,2,1
5,5/31/2023,336526.295,4451572.229,1963,-0.046516,0.0626821,-0.986655,0.100563,0.12815,0.102723,0.116068,5.8352,2.9133,2.9219,99.8,41.688,1.942,0.019458918,7.1,,N,1.38,7,1.7,6,6,12,4,24,193,4050,484,40,1.9,63.8,3.1,1.5,0.7,25,100,0,81,16,2,1
6,5/31/2023,336711.295,4451422.229,2418,0.1220325,0.1351586,-0.969817,0.100922,0.115326,0.09959,0.129773,4.9355,2.9299,2.0056,101.5,40.6233,2.2289,0.021959606,7.1,,N,1.28,11.6,1.4,5,5,12,13,21,205,5360,511,61,2.1,63.2,8.8,1.3,1,31.8,100,0,84,13,2,1
7,5/31/2023,336731.295,4451272.229,3578,0.1726467,0.1109942,-0.97612,0.077752,0.076342,0.085671,0.109551,11.5686,2.9269,8.6417,101.3,39.6919,2.1649,0.021371175,6.5,6.5,N,1.28,11.6,1.8,6,6,12,4,37,105,3120,343,51,1.6,310,62.6,2.1,1.3,23.9,79,21,65,12,1,1
8,5/31/2023,336856.295,4451272.229,3595,0.3904505,0.1190853,-0.972764,0.077317,0.058322,0.103733,0.130969,6.7416,2.9111,3.8305,101.9,40.7454,2.1404,0.021004907,6.9,6.9,N,1.56,6.1,3.5,13,13,12,9,30,157,3710,419,79,3.3,182,15.9,1.8,0.9,23.8,96,4,78,15,2,1
9,5/31/2023,336741.295,4451117.229,4808,-0.1165507,0.0878605,-0.980664,0.098102,0.128178,0.091385,0.110721,3.7834,2.9726,0.8108,100.6,42.5781,3.7336,0.03711332,7.3,,M,1.22,7.3,1.9,7,7,12,9,43,103,3940,615,95,1.4,92,8.3,1.3,0.7,25.5,100,0,77,20,1,2
10,5/31/2023,336876.295,4451037.229,5270,0.373257,0.1682208,-0.961542,0.072775,0.062597,0.098436,0.136894,8.8259,2.9593,5.8666,300,42.0393,2.7508,0.009169333,6.6,6.7,N,1.28,10.9,22.9,82,82,12,29,17,176,3080,383,33,6.9,148,10.8,1.2,0.9,22.2,86,14,69,14,2,1
11,5/31/2023,336861.295,4450892.229,5671,0.0840622,0.0897961,-0.977057,0.106908,0.113248,0.107636,0.130579,4.0487,2.9642,1.0845,101.5,39.1916,2.6074,0.02568867,6.9,6.9,N,1.04,4.7,8.6,31,31,12,20,13,170,3180,403,32,1.4,95.1,3,1.3,0.5,20.8,95,5,76,16,2,1
12,5/31/2023,336911.295,4450757.229,6025,-0.147951,0.0225733,-0.991166,0.095046,0.112823,0.080635,0.089469,4.3118,3.0042,1.3076,102,41.1181,2.8478,0.027919608,6.8,6.8,N,1.04,6.6,2.5,9,9,12,9,11,160,3520,381,50,2.1,87.7,4.8,1.1,0.6,23.4,91,9,74,14,2,1
1,7/10/2023,336521.295,4451922.229,21,0.747498,0.120192,-0.923526,0.098998,0.051514,0.279812,0.356286,17.6003,8.81593,8.78437,98.5,40.5842,1.7097,0.01735736,7.9,,H,0.74,6,3.5,13,13,12,4,23,90,3730,411,57,0.6,36.5,7,1.1,1.1,22.6,100,0,83,15,1,1
2,7/10/2023,336381.295,4451902.229,98,0.837743,0.207939,-0.881061,0.065343,0.030501,0.226502,0.345441,42.5726,8.0129,34.5597,99.9,42.6671,1.6787,0.016803804,6.7,6.8,N,0.66,7,1.2,4,4,12,24,18,108,3690,365,29,2.9,150,16.8,1.8,1,23.9,92,8,77,13,1,1
3,7/10/2023,336531.295,4451757.229,1026,0.848242,0.250695,-0.813163,0.077391,0.038276,0.279378,0.466215,31.9285,7.8035,24.125,99.1,42.392,1.6971,0.017125126,7.6,,H,1.02,9.5,1.6,6,6,12,1,21,101,5510,385,60,0.8,39.8,11,1.9,1,31.3,100,0,88,10,1,1
4,7/10/2023,336661.295,4451667.229,1591,0.717955,0.148391,-0.877256,0.126405,0.07748,0.350942,0.473686,25.5666,7.6472,17.9194,99.2,42.5102,1.5782,0.015909274,7.3,,N,1.06,6.5,2,7,7,12,4,24,151,5540,536,58,1,49,3.1,1.1,0.4,32.8,100,0,84,14,1,1
5,7/10/2023,336526.295,4451572.229,1963,0.838664,0.26103,-0.782534,0.08556,0.046091,0.307798,0.525264,28.5475,9.0204,19.5271,99.9,43.1629,1.7917,0.017934935,7.1,,N,0.74,6.7,2.1,8,8,12,1,11,173,4950,596,54,1.4,59.3,2.9,1.2,0.5,30.4,100,0,82,16,1,1
6,7/10/2023,336711.295,4451422.229,2418,0.851241,0.254455,-0.858788,0.056373,0.027987,0.207028,0.34824,20.8798,9.025,11.8548,98.8,40.1753,1.8828,0.01905668,7.4,,N,1.26,7.7,1.8,6,6,12,11,30,118,5600,560,66,0.9,60.1,5.9,0.9,0.6,33.3,100,0,84,14,1,1
7,7/10/2023,336731.295,4451272.229,3578,0.761649,0.254334,-0.868175,0.069087,0.043994,0.193402,0.325227,39.5859,9.0343,30.5516,99.8,40.1858,1.6661,0.016694389,6,6.3,N,0.7,12.9,1.9,7,7,12,5,25,100,2890,290,40,1.5,365,40.3,1.5,1.3,24.3,71,29,59,10,1,1
8,7/10/2023,336856.295,4451272.229,3595,0.870225,0.270813,-0.839449,0.059158,0.026165,0.216532,0.377083,21.3785,7.7765,13.602,98.6,41.2161,1.7305,0.01755071,6.6,6.7,N,0.96,12,1.5,5,5,12,2,31,100,5290,482,62,1.9,145,24.2,2,0.7,34,91,9,77,12,1,1
9,7/10/2023,336741.295,4451117.229,4808,0.860101,0.258857,-0.774667,0.082981,0.041441,0.322612,0.547945,35.7916,8.9518,26.8398,98.9,40.2562,1.9382,0.019597573,7,,N,0.9,5,1,4,4,12,6,12,75,2710,313,37,1.2,82.7,9.4,1.3,0.5,16.5,100,0,82,16,1,1
10,7/10/2023,336876.295,4451037.229,5270,0.889715,0.339723,-0.746378,0.066027,0.029139,0.24625,0.499872,16.8515,7.6898,9.1617,100.2,42.2541,2.1799,0.021755489,7.3,,N,0.92,5.8,2.9,10,10,12,4,11,89,3830,454,38,1,80.4,5.1,0.7,0.5,23.3,100,0,82,16,1,1
11,7/10/2023,336861.295,4450892.229,5671,0.849653,0.210944,-0.875335,0.063817,0.029094,0.233258,0.357923,14.9498,7.6311,7.3187,99.7,42.6333,1.9093,0.019150451,7.2,,N,0.52,3.7,2.2,8,8,12,3,7,138,3820,415,41,0.8,72.4,2.7,0.8,0.4,23.1,100,0,82,15,2,1
12,7/10/2023,336911.295,4450757.229,6025,0.798689,0.157907,-0.921488,0.062545,0.032137,0.208942,0.287454,14.0355,7.9342,6.1013,99.8,42.336,1.964,0.019679359,6.8,7,N,0.56,5.2,2.7,10,10,12,4,7,120,3210,403,26,1.3,75.8,2.5,0.7,0.4,19.8,100,0,80,17,2,1
1,8/9/2023,336521.295,4451922.229,21,0.805815,0.224436,-0.860012,0.074583,0.041062,0.241909,0.381897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8/9/2023,336381.295,4451902.229,98,0.811173,0.227817,-0.895991,0.046023,0.029226,0.176285,0.280294,90.46,48.04,42.42,101.4,42.9465,1.1296,1.114,,,H,,9.7,1.5,5,5,12,,,136,4870,489,58,,,,,,29,100,0,84,14,1,1
3,8/9/2023,336531.295,4451757.229,1026,0.868206,0.349842,-0.786633,0.051813,0.02905,0.198373,0.41174,98.4,48.25,50.15,101.7,42.5135,1.2316,1.211,,,H,,11,3.6,13,13,12,,,166,7190,555,76,,,,,,41.3,100,0,87,11,1,1
4,8/9/2023,336661.295,4451667.229,1591,0.813288,0.31041,-0.855896,0.047811,0.03135,0.160078,0.304182,90.81,48.1,42.71,101.8,42.5076,1.2465,1.2245,,,N,,8.4,1.6,6,6,12,,,223,6350,475,86,,,,,,36.7,100,0,86,11,2,1
5,8/9/2023,336526.295,4451572.229,1963,0.828747,0.288819,-0.841228,0.053527,0.033184,0.195595,0.354367,92.3,48.17,44.13,101.8,43.259,1.133,1.113,,,N,,6.2,4.2,15,15,12,,,193,5390,610,85,,,,,,32.9,100,0,82,15,2,1
6,8/9/2023,336711.295,4451422.229,2418,0.805152,0.267589,-0.844417,0.068805,0.039826,0.21302,0.368603,121.9,48.6,73.3,101.3,43.1497,1.4199,1.4017,,,N,,9.1,3.3,12,12,12,,,163,5660,622,80,,,,,,34.2,100,0,83,15,1,1
7,8/9/2023,336731.295,4451272.229,3578,0.80409,0.272252,-0.866567,0.050508,0.033862,0.178399,0.311832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8/9/2023,336856.295,4451272.229,3595,0.867889,0.325895,-0.802958,0.060751,0.028352,0.203844,0.400886,86.81,48.07,38.74,100.5,42.1496,1.3844,1.3775,,,N,,13.4,2.3,8,8,12,,,95,4620,421,67,,,,,,27.1,100,0,85,13,1,1
9,8/9/2023,336741.295,4451117.229,4808,0.843866,0.315279,-0.826614,0.048844,0.030638,0.188313,0.361699,75.51,47.57,27.94,100.7,43.0753,1.5005,1.4901,,,N,,4.9,2.5,9,9,12,,,72,3330,402,61,,,,,,20.4,100,0,82,16,1,1
10,8/9/2023,336876.295,4451037.229,5270,0.824026,0.290498,-0.797968,0.074648,0.043271,0.246777,0.448809,108.49,48.04,60.45,100,42.3391,1.4057,1.4057,,,N,,6.6,2.9,10,10,12,,,164,4860,397,83,,,,,,28.4,100,0,86,12,1,1
11,8/9/2023,336861.295,4450892.229,5671,0.835746,0.329824,-0.831192,0.055671,0.03042,0.171365,0.340173,73.29,47.47,25.82,100.6,43.6327,1.3145,1.3066,,,N,,4.6,5,18,18,12,,,119,2380,247,28,,,,,,14.4,100,0,83,14,2,1
12,8/9/2023,336911.295,4450757.229,6025,0.796123,0.235748,-0.894942,0.053301,0.031201,0.170168,0.275226,77.62,47.8,29.82,99.2,43.4654,1.5764,1.5891,,,M,,6.4,1.9,7,7,12,,,194,3340,465,33,,,,,,21.2,100,0,79,18,2,1
